id,date,username,tweet
1375339166851076104,2021-03-26,nieke_aereta,"MASIH ANGGAP SEPELE COVID?? Yg kena Covid bukan cm ibu2 dr Depok lagi. Bukan jg katanya katanya katanya aka konon. Tp yg kena benar2 org yg kita kenal. Bahkan org terdekat kita  Teman baikku SMA yg pernah aku tuit terkait Covid yg dia kerja di BRI, skr kena Covid  Melek &amp; ikhtiar  https://t.co/iewb84aGMh"
1375327518534737921,2021-03-26,bssn_ri,"BSSN bekerja sama dengan Kementerian Kesehatan menyelenggarakan vaksinasi Covid-19 bagi pegawai BSSN. Vaksinasi tahap kedua digelar selama dua hari dengan target 1500 pegawai. Kegiatan diselenggarakan di Aula BSSN, Depok.   https://t.co/qKkRX5IphW  https://t.co/ZRGXymGL13"
1375296474343432195,2021-03-26,telset_id,XL Axiata dan UI Resmikan Sentra Vaksinasi Covid-19 di Depok  https://t.co/FmKkcuOMZq
1375294076149399553,2021-03-26,liputan6dotcom,Pemkot Depok Targetkan Vaksinasi Covid-19 Tahap Kedua Rampung Juni 2021  https://t.co/LEnniUZIM2
1375268826078674945,2021-03-26,depokinfo_,#News: Dukung Program Vaksinasi COVID-19 XL Axiata Gelar Vaksin Drive Thru di RSUI  https://t.co/Vf6psKqBSM | Depok News
1375234180569657344,2021-03-26,kompascom,Kasus aktif Covid-19 di Depok kini berjumlah 2.402 pasien yang masih harus menjalani isolasi dan perawatan.  https://t.co/6baDzLRBO2
1375231817104625665,2021-03-26,opsiin,"Tak Ada Zona Merah COVID-19, Depok Belum Izinkan Sekolah Tatap Muka – VIVA  https://t.co/3HJSdjSEuR"
1375119948884934656,2021-03-25,detikinet,"Masyarakat kini semakin banyak pilihan untuk melakukan vaksinasi COVID-19, terutama untuk lansia. Di Depok, kini sudah dibuka vaksinasi Drive Thru.  https://t.co/UTTEKdYbRM"
1375107413775355910,2021-03-25,detikcom,"Masyarakat kini semakin banyak pilihan untuk melakukan vaksinasi COVID-19, terutama untuk lansia. Di Depok, kini sudah dibuka vaksinasi Drive Thru.  https://t.co/udLOrSH6FT"
1375104200913260544,2021-03-25,sahabatidris,"Suplai Vaksin Covid-19 Terbatas, Wali Kota Depok Ungkap Penyebabnya  https://t.co/SDomP3Kj9h  https://t.co/p4Ox8y3a7P"
1375098883680858115,2021-03-25,youribuprofen,Ada info ngga sih vaksin covid di Depok bisa kemana? Yang di halodoc Jakartans only😭😭😭
1375046663727763457,2021-03-25,jawapos,Sentra Vaksinasi Covid-19 Dhrive-Thru Hadir di Depok  https://t.co/BhBATa2YF7
1375042640618549253,2021-03-25,rezbangs,@jogetyugg hai depok penghasil corona
1375007184090669059,2021-03-25,merdekadotcom,Sentra Vaksinasi Covid-19 Drive Thru di RSUI Resmi Dibuka: Sentra Vaksinasi Covid-19 Drive Thru di RSUI Resmi Dibuka. XL Axiata bekerjasama dengan Rumah Sakit Universitas Indonesia yang didukung penuh oleh Kementerian Kesehatan dan Pemerintah Kota Depok…  https://t.co/vqLQ5nxQNp
1374981902684196874,2021-03-25,kompascom,"Wali Kota Depok, Mohammad Idris, menyoroti terbatasnya suplai vaksin Covid-19 ke wilayahnya saat ini.  https://t.co/pDExmIv0Uq"
1374965362442182656,2021-03-25,pindainews,RSUI Permudah Lansia di Depok untuk Mendapatkan Vaksin Covid-19  https://t.co/XyMS6OtZp1
1374957182052048900,2021-03-25,rtmc_diy,Dalam rangka Ops Gabungan Yusitisi 2021 untuk mencegah penyebaran covid-19. Ditlantas Polda DIY memberikan himbauan serta membagikan masker kepada pengendara jalan di depan Polsek Depok.  https://t.co/OvtPnzuuIl
1374956333070344193,2021-03-25,depoknegeri,"melalui reformasi birokrasi, khususnya dalam hal pencegahan korupsi dan peningkatan kualitas pelayanan publik. Kegiatan tersebut dihadiri oleh FORKOPIMDA Kota Depok.  Kegiatan tersebut diselenggarakan dengan tetap menerapkan protokol kesehatan Covid-19.  https://t.co/G3sYlWh5uy"
1374928670414921732,2021-03-25,coupsziwon,Keliling vet yg ada di Depok nyari vaksin pertama untuk kitten kosong semua njir. Dan kayak vaksin covid aje
1374926400612753408,2021-03-25,pashatama,Hai Depok!   Mari ajak orang tua kita yang sudah memasuki usia lansia untuk vaksin Covid-19. Daftar di :  https://t.co/4yhaTAwhqT….   Vaksin sekarang untuk Indonesia #JadiLebihBaik  https://t.co/QKvdlqmPUj
1374865874323009539,2021-03-25,kompascom,Kasus aktif Covid-19 di Depok kini berjumlah 2.454 pasien yang masih harus menjalani isolasi dan perawatan.  https://t.co/v2B0HoV6iR
1374757368546791428,2021-03-24,ard00ts,ni kalo ga ada covid pelantos seru bgt nginep di depok seminggu belajar sampe malem nambah temen baru jdksjdjsjzks knp coba coviiiiddddd
1374728993316823049,2021-03-24,halfiemoon,"@siriusaurorae gue gatau ini di daerah depok doang apa begimane, tapi ini gak cuma mcd doang, tapi kfc dan resto fastfood lainnya juga begini. semenjak korona tuh di atas jam tujuh suka banyak yg kosong deh menunya, abis gitu 😔"
1374711192376074246,2021-03-24,22rincut,"@rintoon ga Tun, nyokapnya orang kantor meninggal, karena deket depok jadi perwakilan, ini makin banyak kasus sekitaran kantor yg emang sebelum covid ada pnyakit jadi harus sering kontrol, trus kena dirumah sakit, memburuk dalam itungan hari 😢"
1374706763237257222,2021-03-24,cnnindonesia,FOTO: Geliat Vaksinasi Massal Covid-19 Pedagang Kota Depok  https://t.co/A8GRXH7HpW
1374696360935452672,2021-03-24,teknik_ui,"Depok dengan jadwal sebagaimana terlampir pada post berikut ini.   Saat pengambilan, mahasiswa WAJIB untuk: 1. Datang TEPAT WAKTU sesuai dengan sesi yang telah ditentukan. 2. Menyerahkan print-out lembar IDM ukuran jaket kuning. 3. Menerapkan Protokol Kesehatan COVID-19"
1374674290331643905,2021-03-24,mediaserunicoid,"Wali Kota Depok Mohammad Idris, hari ini menerima suntikan vaksin Covid-19 untuk dosis kedua. Proses vaksin berjalan lancar dan tidak ada keluhan setelah observasi selama 30 menit.  Baca Berita Selengkapnya di  https://t.co/G2uS70613p !!   https://t.co/EXrdzdpneZ  https://t.co/VrgxKYrWSD"
1374623302040260608,2021-03-24,pemkotdepok,"@GamalieliGulo @rsherminadepok Saat ini sedang berlangsung Vaksinasi COVID-19 Tahap 2 dengan sasaran Tenaga Kesehatan, Lansia dan Layanan Publik, ber-KTP/Domisili Depok.  Masyarakat yang termasuk dalam kategori sasaran tersebut dapat melakukan pendaftaran melalui Link :  https://t.co/b6jXdzeRdj"
1374610135876657153,2021-03-24,sahabatidris,"""Bagi masyarakat yang belum menerima vaksin Covid-19, Mohammad Idris meminta agar bersabar. Sebab, vaksin tersebut dikirim secara bertahap dari pusat"" Wali Kota Depok @IdrisAShomad  https://t.co/vEopL2bHDN"
1374530404640714753,2021-03-24,pemkotdepok,"Rabu (24/03/2021) Wali Kota Mohammad Idris menerima vaksin Covid-19 kedua di RS. Hermina Depok.  Patuh &amp; konsisten terapkan 5M (Memakai Masker, Mencuci Tangan Pakai Sabun, Menjaga Jarak, Menjauhi Kerumunan, Mengurangi Mobilitas) ya #SobatDepok.  https://t.co/Am9xvSI5TS"
1374503369432129538,2021-03-24,kompascom,Kasus aktif Covid-19 di Depok kini berjumlah 2.447 pasien. Itu artinya mereka masih harus menjalani isolasi dan perawatan.  https://t.co/UaREfwJBJi
1374481150085795844,2021-03-24,lokadataid,"Setahun berlalu, bukan berarti stigma &amp; hujatan yang dilontarkan masyarakat sirna begitu saja. Pasien Covid-19 pertama berasal dari Kota Depok, Sita Tyasutami mengaku tak jarang masih ada yang menghujatnya sampai saat ini.  #KhasLokadata #MediaLawanCovid19  https://t.co/fz7Rw2UL22"
1374478444642193409,2021-03-24,idnpublic,1.500 Karyawan Pusat Perbelanjaan di Kota Depok divaksinasi Corona  https://t.co/A49CkP9oU5 #Terbaru #berita #live #merdeka
1374441097401753606,2021-03-24,ahmadnormaulana,1.500 Karyawan Pusat Perbelanjaan di Kota Depok divaksinasi Covid-19  https://t.co/SersFq7P89  https://t.co/ChR5OJhZOO
1374439443088609292,2021-03-24,merdekadotcom,"1.500 Karyawan Pusat Perbelanjaan di Kota Depok divaksinasi Covid-19: Sebanyak 1.500 karyawan pusat perbelanjaan di Kota Depok, Jawa Barat divaksinasi Covid-19. Vaksinasi dilaksanakan selama dua hari pada Selasa dan Rabu 23-24 Maret 2021 di pusat…  https://t.co/ReRRm98Tkt"
1374325726355189764,2021-03-23,johanrio,"@IanSPCC Mungkin Krn beda tempat beda orang beda yg ngurusin kyak, ane di Kukusan sih kerasa banget bang Katarnya. Dr mulai yg rutin kyk donor darah (di masa Covid PMI Depok slalu suplai darah ke Jakarta loh saking kurangnya) sampe yg kayak insidental bantuin pedagang yang kedampak Covid"
1374321906200031233,2021-03-23,detikhealth,Dinas Kesehatan Kota Depok mulai melakukan vaksinasi COVID-19 dosis pertama kepada pegawai pusat perbelanjaan. Kali ini vaksinasi berlangsung Depok Town Square.  https://t.co/JOTo6ne6XS
1374302715950501888,2021-03-23,republikaonline,Vaksinasi covid-19 massal digelar Pemkot Depok di Detos.  https://t.co/67CVsoDwIO
1374262816882925571,2021-03-23,pemkotdepok,Pemkot Depok Bersama RSJD dan APPBI Gelar Vaksinasi Massal Covid-19  https://t.co/rn4AZQ002w
1374256434414637057,2021-03-23,pemkotdepok,Pemkot Depok Gelar Vaksinasi Covid-19 Massal di Detos  https://t.co/7zKSo6Ktmk
1374234843215667211,2021-03-23,vivacoid,"Tak Ada Zona Merah COVID-19, Depok Belum Izinkan Sekolah Tatap Muka  https://t.co/BGlrktgptE"
1374140851610263553,2021-03-23,kompascom,"Pemerintah Kota Depok, Jawa Barat, mencatat 192 kasus baru Covid-19 dan 200 pasien sembuh sertai dua orang meninggal pada Senin.  https://t.co/MKRC4W7VUw"
1374022492931563521,2021-03-22,kpukotadepok,KPU Kota Depok (22/3/2021) melaksanakan kegiatan vaksinasi Covid-19 tahap 1 di RS Bunda Aliya.⁣ Yuk #TemanPemilih kita lawan Covid-19! Vaksin Covid-19 Aman dan Halal⁣ ⁣ #KPUlawanCovid-19⁣ #SiDelos  https://t.co/dGs0lN6OjK
1374018088119627779,2021-03-22,skzlabs,wow udh lebih dr setaun semenjak case korona prtama di depok 3 org
